time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1978-12-02T10:12:09.300Z,-20.845,-68.527,88,4.8,mb,,,,,us,usp0000xqz,2014-11-06T23:21:54.280Z,"176 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1978-12-05T18:32:43.600Z,-20.759,-66.496,198,5.3,mb,,,,,us,usp0000xs8,2014-11-06T23:21:54.449Z,"34 km NW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1979-02-12T02:03:25.600Z,-17.371,-63.627,38,5,mb,,,,,us,usp0000yt6,2022-04-27T15:14:27.752Z,"Santa Cruz, Bolivia",earthquake,,,,,reviewed,us,us
1979-02-15T06:27:36.200Z,-18.221,-63.482,59,4.8,mb,,,,,us,usp0000yv6,2014-11-06T23:21:57.039Z,"19 km SSW of Jorochito, Bolivia",earthquake,,,,,reviewed,us,us
1979-03-19T12:39:31.400Z,-15.883,-69.334,252,4.7,mb,,,,,us,usp0000zgt,2014-11-06T23:21:58.716Z,"26 km NW of Yumani, Bolivia",earthquake,,,,,reviewed,us,us
1979-04-21T18:32:58.300Z,-19.833,-66.869,238,4.9,mb,,,,,us,usp000106x,2014-11-06T23:22:00.381Z,"52 km N of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1979-04-30T12:53:33.000Z,-20.9,-67.377,144,4.5,mb,,,,,us,usp00010cn,2014-11-06T23:22:00.792Z,"75 km SW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1979-06-17T19:33:32.700Z,-19.202,-68.886,116,5.3,mb,,,,,us,usp00011cw,2022-04-27T15:02:38.029Z,"155 km SSW of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1979-07-14T13:53:40.700Z,-21.406,-66.841,226,3.9,mb,,,,,us,usp00011v9,2014-11-06T23:22:03.853Z,"82 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1979-08-10T01:28:42.000Z,-21.405,-66.608,257,5.1,mb,,,,,us,usp00012av,2016-11-09T23:12:21.910Z,"65 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1979-10-08T02:25:01.400Z,-18.083,-68.699,187,4.8,mb,,,,,us,usp00013a2,2014-11-06T23:22:06.018Z,"36 km SW of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1979-10-27T03:55:40.900Z,-21.557,-66.534,243,4.1,mb,,,,,us,usp00013qm,2014-11-06T23:22:06.932Z,"76 km SSW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1979-11-28T16:19:23.000Z,-21.096,-66.814,238,4.2,mb,,,,,us,usp000148f,2014-11-06T23:22:07.830Z,"64 km WSW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1979-12-01T01:30:17.400Z,-17.824,-68.737,191,4.8,mb,,,,,us,usp000149s,2014-11-06T23:22:07.887Z,"32 km W of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1980-03-21T19:25:47.100Z,-22.104,-66.08,299,4.5,mb,,,,,us,usp000164q,2014-11-06T23:24:19.385Z,"50 km W of Villazón, Bolivia",earthquake,,,,,reviewed,us,us
1980-05-10T01:10:55.500Z,-19.241,-67.067,266,4.1,mb,,,,,us,usp000174m,2014-11-06T23:24:21.535Z,"48 km SW of Challapata, Bolivia",earthquake,,,,,reviewed,us,us
1980-05-19T10:16:18.900Z,-21.538,-67.152,281,3.9,mb,,,,,us,usp00017an,2014-11-06T23:24:21.925Z,"117 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1980-09-13T20:06:11.700Z,-20.652,-66.464,239,4.4,mb,,,,,us,usp00019t7,2014-11-06T23:24:25.967Z,"40 km NW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1980-10-01T18:29:24.500Z,-19.269,-63.907,602,4.3,mb,,,,,us,usp0001a1x,2014-11-06T23:24:26.250Z,"41 km E of Padilla, Bolivia",earthquake,,,,,reviewed,us,us
1980-11-06T11:24:12.400Z,-18.5,-69.217,137,4.8,mb,,,,,us,usp0001apa,2014-11-06T23:24:27.095Z,"108 km SW of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1981-04-20T05:10:26.620Z,-18.744,-67.33,229.8,4.2,mb,,,,1.1,us,usp0001d8g,2014-11-07T00:29:16.286Z,"55 km WSW of Totoral, Bolivia",earthquake,,4.6,,3,reviewed,us,us
1981-06-01T19:50:13.340Z,-20.485,-65.189,330.1,5,mb,,,,1.1,us,usp0001dzf,2022-04-28T01:02:23.282Z,"17 km N of Camargo, Bolivia",earthquake,,3.9,,33,reviewed,us,us
1981-06-04T19:05:30.460Z,-19.295,-67.436,243,4.1,mb,,,,1.1,us,usp0001e0k,2014-11-07T00:29:35.371Z,"82 km WSW of Challapata, Bolivia",earthquake,,4.9,,1,reviewed,us,us
1981-07-23T13:51:26.530Z,-16.979,-64.941,38.1,5.3,mb,,,,1.2,us,usp0001ew8,2022-04-28T01:01:26.126Z,"22 km E of Chimoré, Bolivia",earthquake,,8,,13,reviewed,us,us
1981-08-23T08:22:51.900Z,-17.078,-64.069,33,4.2,mb,,,,1,us,usp0001fev,2014-11-07T00:29:57.387Z,"43 km NW of Villa Yapacaní, Bolivia",earthquake,,,,1,reviewed,us,us
1981-09-17T05:08:57.820Z,-21.581,-66.752,243,4.4,mb,,,,0.9,us,usp0001fxm,2014-11-07T00:30:06.156Z,"90 km SW of Atocha, Bolivia",earthquake,,6.4,,1,reviewed,us,us
1981-12-20T06:12:12.660Z,-17.702,-69.915,139.2,4.7,mb,,,,1.1,us,usp0001hhh,2014-11-07T00:30:32.532Z,Peru-Bolivia border region,earthquake,,4.6,,3,reviewed,us,us
1982-01-10T08:42:15.210Z,-21.001,-67.307,163.8,4.5,mb,,,,1,us,usp0001hz3,2014-11-07T00:30:39.724Z,"78 km SW of Uyuni, Bolivia",earthquake,,9.6,,1,reviewed,us,us
1982-02-03T11:06:54.010Z,-21.76,-67.033,166.7,5,mb,,,,0.9,us,usp0001jfd,2014-11-07T00:30:48.507Z,"124 km SW of Atocha, Bolivia",earthquake,,5.5,,8,reviewed,us,us
1982-06-03T06:43:50.800Z,-18.887,-68.021,184.8,5.2,mb,,,,1,us,usp0001mnt,2016-11-09T22:40:21.534Z,"121 km SSE of Curahuara de Carangas, Bolivia",earthquake,,3.9,,38,reviewed,us,us
1982-06-10T07:42:33.790Z,-21.468,-67.422,194.7,4.7,mb,,,,1.5,us,usp0001mtm,2014-11-07T00:31:26.661Z,"127 km SSW of Uyuni, Bolivia",earthquake,,9.1,,1,reviewed,us,us
